Position;Microchannel;Final frame for analysis;final state
xy46;14;282;dead
xy46;17;0;dead
xy03;5;33;dead
xy03;12;44;dead
xy03;0;103;dead
xy03;10;96;dead
xy03;14;276;dead
xy03;4;35;dead
xy03;15;27;dead
xy03;2;76;dead
xy03;16;257;dead
xy03;6;312;dead
xy03;9;24;dead
xy03;13;0;dead
xy03;17;0;dead
xy25;18;96;dead
xy25;4;27;dead
xy25;5;0;dead
xy25;2;54;dead
xy25;10;260;dead
xy25;7;128;dead
xy25;9;160;dead
xy25;13;149;dead
xy25;12;98;dead
xy25;11;77;dead
xy25;6;37;dead
xy25;15;146;dead
xy25;8;189;dead
xy47;5;0;dead
xy47;4;0;dead
xy47;7;49;dead
xy47;8;360;dead
xy47;1;37;dead
xy47;2;48;dead
xy47;13;270;dead
xy47;3;53;dead
xy47;12;0;dead
xy47;16;58;dead
xy47;17;129;dead
xy47;10;134;dead
xy47;11;0;dead
xy47;14;0;dead
xy47;15;52;dead
xy47;9;29;dead
xy04;11;20;dead
xy04;7;0;dead
xy04;10;0;dead
xy04;17;428;dead
xy04;14;80;dead
xy04;3;34;dead
xy04;6;595;dead
xy04;15;301;dead
xy04;1;56;dead
xy04;13;105;dead
xy04;18;114;dead
xy04;0;188;dead
xy04;4;129;dead
xy04;16;511;dead
xy26;6;56;dead
xy26;0;59;dead
xy26;17;65;dead
xy26;9;0;dead
xy26;8;0;dead
xy26;10;231;dead
xy26;11;0;dead
xy26;13;216;dead
xy26;16;121;dead
xy26;14;0;dead
xy26;1;75;dead
xy05;6;87;dead
xy05;9;0;dead
xy05;2;330;dead
xy05;11;111;dead
xy05;3;316;dead
xy05;5;54;dead
xy05;18;610;dead
xy05;1;0;dead
xy05;0;220;dead
xy05;7;72;dead
xy05;4;42;dead
xy05;16;235;dead
xy27;2;0;dead
xy27;15;131;dead
xy27;16;44;dead
xy27;5;269;dead
xy27;6;47;dead
xy27;12;439;dead
xy27;10;282;dead
xy27;7;30;dead
xy27;13;91;dead
xy27;9;70;dead
xy27;18;0;dead
xy06;9;25;dead
xy06;3;176;dead
xy06;13;228;dead
xy06;2;193;dead
xy06;5;262;dead
xy06;18;147;dead
xy06;17;510;dead
xy06;14;294;dead
xy06;1;0;dead
xy06;12;27;dead
xy06;0;0;dead
xy06;8;18;dead
xy06;6;25;dead
xy28;2;0;dead
xy28;13;532;dead
xy28;14;227;dead
xy28;9;0;dead
xy28;8;0;dead
xy28;10;24;dead
xy28;16;215;dead
xy28;4;183;dead
xy28;5;164;dead
xy28;15;74;dead
xy28;6;212;dead
xy28;12;57;dead
xy28;3;324;dead
